id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,availability_category,review_activity,host_type
2992450,Luxury 2 bedroom apartment,4621559,Kenneth,THIRD WARD,42.65789,-73.7537,Entire home/apt,80.0,28.0,9,2022-08-17,0.06,1,77,0,Low availability,Low review activity,Single-listing host
3820211,Restored Precinct in Center Sq. w/Parking,19648678,Ming,SIXTH WARD,42.65222,-73.76724,Entire home/apt,211.0,1.0,317,2026-01-25,2.2,7,328,8,High availability,High review activity,Multi-listing host
5651579,Large studio apt  by Capital Center & ESP@,29288920,Gregg,SECOND WARD,42.64615,-73.75966,Entire home/apt,97.0,1.0,406,2026-06-12,3.0,2,25,37,Low availability,High review activity,Multi-listing host
6623339,Center Sq. Loft in Converted Precinct w/ Parking,19648678,Ming,SIXTH WARD,42.65222,-73.76724,Entire home/apt,160.0,1.0,332,2025-06-30,2.47,7,359,1,High availability,High review activity,Multi-listing host
9501054,Spacious suite with full bath by Capital  Center,29288920,Gregg,SECOND WARD,42.64734,-73.75851,Private room,86.0,1.0,469,2026-06-09,3.71,2,235,47,High availability,High review activity,Multi-listing host
10768745,Alb hospital area studio bath wifi. (Red),5691268,Elizabeth,FOURTEENTH WARD,42.66078,-73.80553,Private room,58.0,1.0,906,2026-06-01,7.18,2,154,103,Medium availability,High review activity,Multi-listing host
11253948,/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths,4259750,Peter,FIFTEENTH WARD,42.67567,-73.82438,Entire home/apt,277.0,1.0,227,2026-05-24,1.86,8,357,36,High availability,High review activity,Multi-listing host
11639446,$55twin($30 foreign student)FreeBF Noa/c no smoke,61700428,Abdullah,ELEVENTH WARD,42.67583,-73.78297,Private room,63.0,15.0,231,2024-02-29,1.89,2,364,0,High availability,High review activity,Multi-listing host
12799126,Private Room in the Hearth of the Albany,69729286,Musab,SIXTH WARD,42.65154,-73.76867,Private room,64.0,5.0,29,2025-08-09,0.41,2,263,1,High availability,Medium review activity,Multi-listing host
13083497,Pristine Cape Cod on the Creek - 4 Large Bedrooms!,1364123,Akhilesh,FIFTEENTH WARD,42.66972,-73.82753,Entire home/apt,313.0,2.0,200,2026-06-14,1.65,1,319,11,High availability,High review activity,Single-listing host
14316232,"Unique Modern Room, Perfect Location Albany",36438637,Chad,TENTH WARD,42.65726,-73.78219,Private room,52.0,18.0,55,2026-02-28,0.46,2,276,1,High availability,High review activity,Multi-listing host
14989805,/Miller Colonial\ 1946 SUNY Eagle Hill 5Bed 2Baths,4259750,Peter,FIFTEENTH WARD,42.673512,-73.819679,Entire home/apt,394.0,1.0,143,2026-05-22,1.22,8,305,30,High availability,High review activity,Multi-listing host
15580397,Albany Medical/Downtown Albany/Colleges/ ROOM H,89705052,Share,NINTH WARD,42.65651,-73.77887,Private room,69.0,2.0,55,2025-11-20,0.5,2,97,7,Medium availability,High review activity,Multi-listing host
16531782,On a little park in Albany pine hills. (Blue),5691268,Elizabeth,FOURTEENTH WARD,42.66075,-73.80605,Private room,92.0,1.0,604,2026-06-01,8.2,2,333,108,High availability,High review activity,Multi-listing host
17238066,"$53($25 foreign student)Twin, noa/cno
Smoke freeBF",61700428,Abdullah,FIFTH WARD,42.67614,-73.78169,Private room,61.0,15.0,132,2024-08-01,1.18,2,364,0,High availability,High review activity,Multi-listing host
17514620,Cozy Modern Room Perfect Location Albany,36438637,Chad,TENTH WARD,42.6584,-73.78309,Private room,52.0,1.0,56,2024-11-02,0.5,2,332,0,High availability,High review activity,Multi-listing host
18341426,/Sauna Ranch 1961\ SUNY Eagle Hill 4Beds 1Bath,4259750,Peter,FIFTEENTH WARD,42.67637,-73.82395,Entire home/apt,412.0,2.0,58,2024-08-13,0.58,8,350,0,High availability,High review activity,Multi-listing host
19527043,Charming 1 Bedroom in a Historic Residential Home,15223767,Ed,NINTH WARD,42.65312,-73.78161,Private room,92.0,1.0,92,2026-04-10,0.99,3,228,10,High availability,High review activity,Multi-listing host
20519885,5BedroomHome InAlbany 9YRSuperHost,67171774,Michael And Flerida,FOURTEENTH WARD,42.65846,-73.80201,Entire home/apt,388.0,4.0,132,2026-05-27,1.26,1,334,15,High availability,High review activity,Single-listing host
20620135,/Red Warhol Ranch\ 1959 SUNY Eagle Hill 4beds1Bath,4259750,Peter,FIFTEENTH WARD,42.675,-73.82382,Entire home/apt,246.0,1.0,102,2026-03-08,0.97,8,324,21,High availability,High review activity,Multi-listing host
20633175,"Garden Apartment, on the Park, close to Capital.",65414985,James,SEVENTH WARD,42.64939,-73.76865,Entire home/apt,194.0,2.0,132,2025-10-20,1.32,2,355,1,High availability,High review activity,Multi-listing host
20671966,"The Metropolitan,3rd floor suite",98744672,Bela,NINTH WARD,42.65532,-73.78244,Entire home/apt,129.0,2.0,54,2026-05-28,0.51,8,258,6,High availability,High review activity,Multi-listing host
21052414,Cozy bedroom with (2) walk-in closets,135717458,Chad,THIRTEENTH WARD,42.66565,-73.77975,Private room,51.0,18.0,49,2026-01-09,0.51,3,359,3,High availability,Medium review activity,Multi-listing host
21392315,The Blair Suite,98744672,Bela,NINTH WARD,42.65372,-73.78244,Entire home/apt,132.0,2.0,140,2026-02-28,1.34,8,259,8,High availability,High review activity,Multi-listing host
21752534,"NEW LISTING! Modern, completely updated, LOCATION!",152762198,Allen,TENTH WARD,42.66045,-73.77833,Entire home/apt,114.0,3.0,191,2026-05-13,1.83,9,236,10,High availability,High review activity,Multi-listing host
21769439,Cozy upstairs room with (1) walk-in closet,135717458,Chad,ELEVENTH WARD,42.66703,-73.77842,Private room,49.0,20.0,28,2026-01-02,0.27,3,303,2,High availability,Medium review activity,Multi-listing host
22398196,Elegant Guest Suite in our beautiful Victorian!,98744672,Bela,NINTH WARD,42.65501,-73.78122,Private room,103.0,2.0,142,2026-06-11,1.38,8,312,20,High availability,High review activity,Multi-listing host
24606880,The Western Suite,98744672,Bela,NINTH WARD,42.65431,-73.78178,Private room,97.0,2.0,58,2026-05-26,0.62,8,352,8,High availability,High review activity,Multi-listing host
25549565,Quiet and Pretty in the Heart of Center Square,9666970,Janet,SIXTH WARD,42.65345,-73.7645,Entire home/apt,115.0,1.0,996,2026-05-31,10.2,1,102,61,Medium availability,High review activity,Single-listing host
26139592,Garden Apartment in Ctr. Square: Monthly Discounts,6833937,Farah,SIXTH WARD,42.65403,-73.76325,Entire home/apt,137.0,2.0,173,2026-06-14,1.81,1,309,31,High availability,High review activity,Single-listing host
27670660,The Rock & Roll Suite,98744672,Bela,NINTH WARD,42.6543083190918,-73.78177642822266,Private room,100.0,2.0,39,2026-05-18,0.44,8,296,13,High availability,Medium review activity,Multi-listing host
27692601,Albany Cozy home with fireplaces and Sunroom,202580880,Rosanne,EIGHTH WARD,42.64514,-73.80668,Entire home/apt,343.0,2.0,17,2026-05-17,0.18,1,169,3,Medium availability,Medium review activity,Single-listing host
28400263,Private Room in Historic Residential Home,15223767,Ed,NINTH WARD,42.65464,-73.78348,Private room,69.0,1.0,280,2026-05-08,3.03,3,224,10,High availability,High review activity,Multi-listing host
28722270,Historic Loft Suite @ Downtown Albany,44434571,Earl Vanze,SECOND WARD,42.64535,-73.75365,Entire home/apt,142.0,1.0,749,2026-06-09,8.14,11,353,57,High availability,High review activity,Multi-listing host
28868857,Cozy Garden 2-Bed Full Amenities @ Downtown Albany,44434571,Earl Vanze,SECOND WARD,42.64535,-73.75365,Entire home/apt,119.0,1.0,692,2026-06-02,7.57,11,338,61,High availability,High review activity,Multi-listing host
28929840,"Spacious
private suite and private bath",194113768,Rachel,FOURTH WARD,42.6737,-73.75313,Private room,195.0,1.0,9,2026-05-17,0.1,1,149,2,Medium availability,Low review activity,Single-listing host
29605579,Funky Urban Gem: Prime Central Location - Parking!,19648678,Ming,SIXTH WARD,42.65235,-73.76714,Entire home/apt,186.0,1.0,137,2026-05-02,1.48,7,357,30,High availability,High review activity,Multi-listing host
30189794,Seashore Suite At The Inn on South Lake,98744672,Bela,NINTH WARD,42.6533,-73.78114,Private room,100.0,2.0,78,2026-04-30,0.87,8,225,10,High availability,High review activity,Multi-listing host
32450400,Moroccan Sands,97330032,Sherrell,FOURTH WARD,42.6761,-73.73825,Private room,203.0,3.0,1,2024-10-28,0.05,1,270,0,High availability,Low review activity,Single-listing host
32993402,Historic Full Amenities 2BR Apt @Downtown Albany,44434571,Earl Vanze,SECOND WARD,42.64563,-73.75311,Entire home/apt,188.0,1.0,488,2026-06-06,5.53,11,348,36,High availability,High review activity,Multi-listing host
33558235,"Historic, Spacious & Fun 2BR Apt @ Downtown Albany",44434571,Earl Vanze,SECOND WARD,42.64585,-73.75297,Entire home/apt,186.0,1.0,505,2026-05-24,5.79,11,350,42,High availability,High review activity,Multi-listing host
35793179,Cozy Bedroom in Historic Residential Home,15223767,Ed,SEVENTH WARD,42.65259,-73.78223,Private room,69.0,1.0,224,2026-04-01,2.65,3,228,26,High availability,High review activity,Multi-listing host
35914565,Perfect Downtown Base | 1BR + Free Parking,232967878,Diana,SECOND WARD,42.64506,-73.75727,Entire home/apt,145.0,2.0,336,2026-05-30,3.97,14,73,25,Low availability,High review activity,Multi-listing host
36443605,Sophisticated Retreat: 2BR in heart of Albany,188679144,Elizabeth,THIRTEENTH WARD,42.66619,-73.79031,Entire home/apt,97.0,30.0,54,2024-08-14,0.64,11,365,0,High availability,High review activity,Multi-listing host
38321579,Comfy and quiet,172223381,Diana,EIGHTH WARD,42.65085,-73.80239,Private room,75.0,1.0,490,2026-06-14,5.95,2,236,65,High availability,High review activity,Multi-listing host
39093517,Center Sq 2BR Brownstone | Walk Capitol | Parking,299638115,Flerida,SIXTH WARD,42.65507,-73.76138,Entire home/apt,230.0,1.0,57,2026-04-19,0.72,4,306,11,High availability,High review activity,Multi-listing host
39698576,Spacious Designer 1-Bed Near Albany Med,188679144,Elizabeth,NINTH WARD,42.65483,-73.78033,Entire home/apt,132.0,5.0,25,2026-04-07,0.31,11,269,1,High availability,Medium review activity,Multi-listing host
39864828,Stunning Bungalo-style Loft in Downtown Albany,10313615,Matthew,FOURTH WARD,42.66091,-73.74285,Entire home/apt,303.0,1.0,247,2026-04-26,3.16,1,169,9,Medium availability,High review activity,Single-listing host
40491172,"Renovated, private parking,location, washer dryer!",152762198,Allen,THIRTEENTH WARD,42.66827,-73.79231,Entire home/apt,137.0,3.0,147,2026-05-17,1.85,9,254,16,High availability,High review activity,Multi-listing host
40828178,Comfortable! One Bedroom A/C Apartment Queen Bed,47491906,Lloyd,FOURTH WARD,42.67773,-73.73899,Entire home/apt,177.0,1.0,175,2026-06-11,2.24,1,224,2,High availability,High review activity,Single-listing host
42009788,Center Square Sanctuary: Private 2-Bedroom Gem,188679144,Elizabeth,SIXTH WARD,42.65315,-73.76202,Entire home/apt,132.0,7.0,25,2025-06-07,0.32,11,360,0,High availability,Medium review activity,Multi-listing host
42567833,Homey,339085327,Arkady,NINTH WARD,42.65567,-73.7854,Entire home/apt,78.0,70.0,0,,0.0,1,365,0,High availability,No reviews,Single-listing host
42763847,Charming dog friendly home with private yard!,649068,Anthony,FIRST WARD,42.63876,-73.78535,Entire home/apt,294.0,1.0,142,2026-06-04,1.9,1,140,24,Medium availability,High review activity,Single-listing host
43208391,Cozy Historic 2BD Apt @ Downtown Albany,272907816,Angela,SECOND WARD,42.64453,-73.75426,Entire home/apt,293.0,1.0,134,2026-06-07,1.92,3,74,19,Low availability,High review activity,Multi-listing host
43459803,Center Sq Brownstone - Walk To Capitol - Parking,299638115,Flerida,SIXTH WARD,42.65556,-73.76205,Entire home/apt,301.0,1.0,24,2025-12-11,0.37,4,365,6,High availability,Medium review activity,Multi-listing host
43955950,* Quaint home located in residential neighborhood*,232967878,Diana,EIGHTH WARD,42.64383,-73.78926,Entire home/apt,371.0,2.0,92,2026-05-17,1.27,14,58,1,Low availability,High review activity,Multi-listing host
44180048,Historic Queen Studio Across from Washington Park!,355777684,Lloyd,SIXTH WARD,42.65935,-73.76805,Entire home/apt,140.0,1.0,401,2026-06-13,5.57,3,306,29,High availability,High review activity,Multi-listing host
44265426,Parkside Queen 1 Bedroom (1800's) Brownstone!,355777684,Lloyd,SIXTH WARD,42.66006,-73.76966,Entire home/apt,159.0,1.0,330,2026-06-06,4.61,3,320,28,High availability,High review activity,Multi-listing host
44450012,Spacious upscale luxury apartment with huge yard,353498132,Michael,EIGHTH WARD,42.64808,-73.7996,Entire home/apt,174.0,13.0,28,2026-04-13,0.4,6,242,2,High availability,Medium review activity,Multi-listing host
45024912,Private Apt Queen 1 Bed Sanctuary with many Extras,362851072,Elsa,FOURTEENTH WARD,42.66132,-73.7956,Entire home/apt,168.0,1.0,134,2026-06-07,1.9,1,358,5,High availability,High review activity,Single-listing host
45074220,Secluded Studio Loft 3fl@ Historic Downtown Albany,272907816,Angela,SECOND WARD,42.64454,-73.75369,Entire home/apt,166.0,1.0,57,2026-06-14,0.99,3,73,17,Low availability,High review activity,Multi-listing host
45528939,UNIQUE Gem in HEART of Albany ★ Spiral Staircase,47625981,Linda,SECOND WARD,42.64801,-73.75668,Entire home/apt,217.0,1.0,102,2026-04-12,1.56,16,185,3,High availability,High review activity,Multi-listing host
45529316,WOW ★ Bright Apt ★ PRIME downtown Walk Everywhere,47625981,Linda,SECOND WARD,42.64821,-73.75793,Entire home/apt,217.0,1.0,132,2026-02-26,2.01,16,330,9,High availability,High review activity,Multi-listing host
45529447,★ 2 BEDROOM / 1 BATH TRENDY Apt ★ Downtown Albany,47625981,Linda,SECOND WARD,42.64713,-73.75628,Entire home/apt,234.0,1.0,155,2026-05-08,2.37,16,183,9,High availability,High review activity,Multi-listing host
46894493,Our Antique Bungalow,69789449,Dan,NINTH WARD,42.65311,-73.78525,Entire home/apt,331.0,1.0,280,2026-05-17,4.29,1,234,22,High availability,High review activity,Single-listing host
47334913,"Newly renovated,Amazing Location,private parking",152762198,Allen,THIRTEENTH WARD,42.66646,-73.79184,Entire home/apt,134.0,3.0,121,2026-05-21,1.85,9,243,25,High availability,High review activity,Multi-listing host
47345872,Bright large 1 bdr loft in Center Sq -free parking,19648678,Ming,SIXTH WARD,42.65345,-73.76663,Entire home/apt,180.0,1.0,116,2026-06-05,1.78,7,335,51,High availability,High review activity,Multi-listing host
47408047,"Quiet cozy apartment, private laundry, great spot!",152762198,Allen,FOURTEENTH WARD,42.67156,-73.80883,Entire home/apt,122.0,3.0,85,2026-05-24,1.31,9,335,14,High availability,High review activity,Multi-listing host
47440071,The Loft Suite @ The Historic Jesse Buel House,382970529,Thomas,THIRTEENTH WARD,42.6692,-73.79849,Private room,150.0,1.0,216,2026-05-14,3.27,12,2,43,Low availability,High review activity,Multi-listing host
47828453,Center Sq 2BR Brownstone | Parking | Walk Capitol,299638115,Flerida,THIRD WARD,42.656,-73.76123,Entire home/apt,198.0,1.0,29,2026-02-26,0.44,4,205,8,High availability,Medium review activity,Multi-listing host
47943571,Downtown Albany 1 Bed + Workstation @ Maiden Lane,385664127,Dillon,THIRD WARD,42.65118,-73.75274,Entire home/apt,218.0,1.0,190,2026-05-13,2.92,2,248,20,High availability,High review activity,Multi-listing host
48052353,*The Rustic Home* 3 Bedroom Second Floor Apartment,349460842,Scott,TENTH WARD,42.66261,-73.78332,Entire home/apt,265.0,1.0,175,2026-05-16,2.69,21,331,8,High availability,High review activity,Multi-listing host
48124042,Downtown Albany 2 Bedroom + Workstation @ The Mark,385664127,Dillon,THIRD WARD,42.64982,-73.7509,Entire home/apt,276.0,1.0,257,2026-05-21,4.35,2,162,26,Medium availability,High review activity,Multi-listing host
48172884,The Down Under Suite,98744672,Bela,NINTH WARD,42.65399,-73.78126,Private room,86.0,2.0,92,2026-06-06,1.43,8,265,14,High availability,High review activity,Multi-listing host
48599533,Capital View I,392074908,Jerry,SIXTH WARD,42.65429,-73.75986,Entire home/apt,149.0,2.0,109,2026-05-18,1.85,3,146,6,Medium availability,High review activity,Multi-listing host
50171851,Beautiful Center Square Garden-Level Unit,48490017,Todd,SIXTH WARD,42.65157,-73.76546,Entire home/apt,127.0,2.0,221,2026-05-11,3.75,1,88,30,Low availability,High review activity,Single-listing host
50207226,★ RARE 1BR Apt with Character GREAT Location! W/D★,47625981,Linda,FOURTH WARD,42.65888,-73.74673,Entire home/apt,215.0,1.0,105,2026-05-09,1.72,16,185,16,High availability,High review activity,Multi-listing host
50211226,"Studio in Heart of the City, Minus the Chaos",105597161,Katelyn,ELEVENTH WARD,42.66034,-73.77163,Entire home/apt,189.0,2.0,201,2026-05-19,3.7,1,318,16,High availability,High review activity,Single-listing host
50354540,Heart of Center Square: Designer 2-Bed Retreat,188679144,Elizabeth,SIXTH WARD,42.65333,-73.76402,Entire home/apt,207.0,3.0,20,2025-10-05,0.33,11,362,4,High availability,Medium review activity,Multi-listing host
